subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
5,"[0, 1, 2, 4, 6]",1424,1062,277354,563391,False,0.99609375,0.2951295336787565,0.4018161180476731,0.13150554249817573,0.16136521621823663,0.99609375
5,"[0, 1, 2, 4, 7]",2358,1519,846166,1152921,False,0.99609375,0.4887046632124352,0.5747256905032161,0.40120394468264875,0.33021710756392203,0.99609375
5,"[0, 1, 2, 4, 8]",1273,911,252203,414505,False,0.99609375,0.2638341968911917,0.3446840711312902,0.1195803642084391,0.11872161420494856,0.99609375
5,"[0, 1, 2, 4, 9]",1494,1110,295966,615495,False,0.99609375,0.3096373056994819,0.4199772985244041,0.14033029770984043,0.17628872977424834,0.99609375
5,"[0, 1, 2, 4, 10]",1432,929,266935,431056,False,0.99609375,0.2967875647668394,0.3514945138100643,0.12656544339274192,0.12346211537310359,0.99609375
5,"[0, 1, 2, 4, 11]",2398,1900,979119,1804050,True,1.0,0.4969948186528497,0.7188800605372683,0.4642427196480719,0.5167120495686118,1.0
5,"[0, 1, 2, 5, 6]",1571,1192,333149,709836,False,0.99609375,0.32559585492227977,0.4510026485054862,0.1579603682576229,0.20330967235807496,0.99609375
5,"[0, 1, 2, 5, 7]",2505,1556,875738,1209790,False,0.99609375,0.5191709844559586,0.5887249337873628,0.4152253105283047,0.34650540198309965,0.99609375
5,"[0, 1, 2, 5, 8]",1420,1046,308026,546535,False,0.99609375,0.29430051813471503,0.3957623912220961,0.14604846598045487,0.1565373576181266,0.99609375
5,"[0, 1, 2, 5, 9]",1641,1240,351753,768180,False,0.99609375,0.34010362694300517,0.4691638289822172,0.16678133032283943,0.22002043304654317,0.99609375
5,"[0, 1, 2, 5, 10]",1579,1063,322468,564453,False,0.99609375,0.3272538860103627,0.40219447597427166,0.15289604360601156,0.16166939193212584,0.99609375
5,"[0, 1, 2, 5, 11]",2545,1999,1031538,1997001,True,1.0,0.5274611398963731,0.756337495270526,0.48909683760639183,0.5719766523658254,1.0
5,"[0, 1, 2, 6, 7]",2291,1650,853682,1360425,False,0.99609375,0.47481865284974095,0.6242905788876277,0.40476760577070336,0.38964994874553294,0.99609375
5,"[0, 1, 2, 6, 8]",1206,995,248763,494515,False,0.99609375,0.2499481865284974,0.3764661369655694,0.11794931123572651,0.1416379031581287,0.99609375
5,"[0, 1, 2, 6, 9]",1427,1127,288279,634501,False,0.99609375,0.29575129533678757,0.4264093832765796,0.13668555811645625,0.18173238666518876,0.99609375
5,"[0, 1, 2, 6, 10]",1365,1024,264314,523776,False,0.99609375,0.28290155440414505,0.38743851683692776,0.1253227137876606,0.15001877468742508,0.99609375
5,"[0, 1, 2, 6, 11]",2331,1870,962804,1747515,True,1.0,0.48310880829015546,0.7075293227393114,0.45650707161033766,0.5005194186978702,1.0
5,"[0, 1, 2, 7, 8]",2140,1510,828776,1139295,False,0.99609375,0.44352331606217615,0.571320469163829,0.39295859259094185,0.32631437848910594,0.99609375
5,"[0, 1, 2, 7, 9]",2361,1700,872154,1444150,False,0.99609375,0.48932642487046635,0.6432084752175558,0.4135259809195251,0.41363027986170603,0.99609375
5,"[0, 1, 2, 7, 10]",2299,1516,839688,1148370,False,0.99609375,0.47647668393782383,0.5735906167234204,0.3981324443462441,0.32891362011202946,0.99609375
5,"[0, 1, 2, 7, 11]",3265,2359,1531522,2781261,True,1.0,0.6766839378238342,0.8925463488460084,0.7261609043240447,0.7966026837921604,1.0
5,"[0, 1, 2, 8, 9]",1276,1048,267445,548628,False,0.99609375,0.2644559585492228,0.39651910707529325,0.12680725647881266,0.1571368300938047,0.99609375
5,"[0, 1, 2, 8, 10]",1214,876,239207,383250,False,0.99609375,0.2516062176165803,0.3314415437003405,0.11341839780338889,0.10976962556313322,0.99609375
5,"[0, 1, 2, 8, 11]",2180,1838,950523,1688203,True,1.0,0.45181347150259066,0.6954218690881574,0.45068411766909255,0.48353140556962343,1.0
5,"[0, 1, 2, 9, 10]",1435,1071,282874,572985,False,0.99609375,0.29740932642487045,0.4052213393870602,0.1341228135474122,0.16411310868438847,0.99609375
5,"[0, 1, 2, 9, 11]",2401,1878,971475,1762503,True,1.0,0.49761658031088085,0.7105561861520999,0.4606183682168466,0.5048122488294821,1.0
5,"[0, 1, 2, 10, 11]",2339,1869,966054,1745646,True,1.0,0.48476683937823833,0.7071509648127128,0.45804803735490623,0.4999841038115623,1.0
5,"[0, 1, 3, 4, 5]",2940,1902,1163121,1807851,True,1.0,0.6093264248704663,0.7196367763904654,0.551486036242566,0.5178007236632379,1.0
5,"[0, 1, 3, 4, 6]",2726,1954,1126030,1908081,True,1.0,0.5649740932642487,0.7393113885735906,0.5338995868789375,0.5465083807283204,1.0
5,"[0, 1, 3, 4, 7]",3660,2117,1547936,2239786,True,1.0,0.7585492227979275,0.8009837306091563,0.733943492549075,0.6415146002910578,1.0
5,"[0, 1, 3, 4, 8]",2575,1854,1104385,1717731,True,1.0,0.533678756476684,0.7014755959137344,0.5236367550201108,0.4919887506541067,1.0
5,"[0, 1, 3, 4, 9]",2796,2002,1144083,2003001,True,1.0,0.5794818652849741,0.7574725690503216,0.5424592959825364,0.5736951592239566,1.0
5,"[0, 1, 3, 4, 10]",2734,1866,1117495,1740045,True,1.0,0.5666321243523316,0.7060158910329172,0.5298527737620474,0.49837987765949676,1.0
