subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
9,555775,"[9, 8, 3, 6, 10, 7, 2, 5, 1]",3433,649,197247,210276,0.7989294856876891,0.9938744257274119,0.9857322765389651,0.9877770366125198
10,805775,"[9, 8, 3, 6, 10, 7, 2, 5, 1, 0]",3820,651,198221,211575,0.8889923202234117,0.996937212863706,0.9905997941050064,0.9938791232536947
9,649210,"[9, 8, 3, 6, 10, 7, 2, 5, 0]",3291,632,183127,199396,0.7658831743076565,0.9678407350689127,0.9151682641852655,0.9366679506571839
8,448285,"[9, 8, 3, 6, 10, 7, 2, 1]",3433,649,197247,210276,0.7989294856876891,0.9938744257274119,0.9857322765389651,0.9877770366125198
9,698285,"[9, 8, 3, 6, 10, 7, 2, 1, 0]",3820,651,198221,211575,0.8889923202234117,0.996937212863706,0.9905997941050064,0.9938791232536947
8,541720,"[9, 8, 3, 6, 10, 7, 2, 0]",3291,632,183127,199396,0.7658831743076565,0.9678407350689127,0.9151682641852655,0.9366679506571839
7,306960,"[9, 8, 3, 6, 10, 7, 5]",2403,605,164890,182710,0.5592273679311147,0.9264931087289433,0.8240297448301366,0.8582850271047266
8,463525,"[9, 8, 3, 6, 10, 7, 5, 1]",2932,638,187897,203203,0.6823365138468699,0.9770290964777948,0.9390061068854884,0.9545514332152688
9,713525,"[9, 8, 3, 6, 10, 7, 5, 1, 0]",3319,641,189385,205120,0.7723993483825925,0.9816232771822359,0.946442314419646,0.9635565910991272
8,556960,"[9, 8, 3, 6, 10, 7, 5, 0]",2790,613,169122,187578,0.6492902024668373,0.9387442572741195,0.8451789587310472,0.8811525850487133
7,356035,"[9, 8, 3, 6, 10, 7, 1]",2932,638,187897,203203,0.6823365138468699,0.9770290964777948,0.9390061068854884,0.9545514332152688
8,606035,"[9, 8, 3, 6, 10, 7, 1, 0]",3319,641,189385,205120,0.7723993483825925,0.9816232771822359,0.946442314419646,0.9635565910991272
7,449470,"[9, 8, 3, 6, 10, 7, 0]",2790,613,169122,187578,0.6492902024668373,0.9387442572741195,0.8451789587310472,0.8811525850487133
6,235640,"[9, 8, 3, 6, 10, 2]",2494,620,176647,191890,0.5804049336746567,0.9494640122511485,0.8827847797623212,0.9014083183795414
7,343130,"[9, 8, 3, 6, 10, 2, 5]",2494,620,176647,191890,0.5804049336746567,0.9494640122511485,0.8827847797623212,0.9014083183795414
8,499695,"[9, 8, 3, 6, 10, 2, 5, 1]",3023,647,195990,208981,0.7035140795904119,0.9908116385911179,0.9794504802550699,0.9816937400764757
9,749695,"[9, 8, 3, 6, 10, 2, 5, 1, 0]",3410,649,196966,210276,0.7935769141261345,0.9938744257274119,0.9843279927237109,0.9877770366125198
8,593130,"[9, 8, 3, 6, 10, 2, 5, 0]",2881,626,179739,195625,0.6704677682103793,0.9586523736600306,0.8982368991814175,0.9189535790452747
7,392205,"[9, 8, 3, 6, 10, 2, 1]",3023,647,195990,208981,0.7035140795904119,0.9908116385911179,0.9794504802550699,0.9816937400764757
8,642205,"[9, 8, 3, 6, 10, 2, 1, 0]",3410,649,196966,210276,0.7935769141261345,0.9938744257274119,0.9843279927237109,0.9877770366125198
7,485640,"[9, 8, 3, 6, 10, 2, 0]",2881,626,179739,195625,0.6704677682103793,0.9586523736600306,0.8982368991814175,0.9189535790452747
6,250880,"[9, 8, 3, 6, 10, 5]",1993,594,158746,176121,0.46381196183383755,0.9096477794793262,0.7933254040439376,0.8273330264282829
7,407445,"[9, 8, 3, 6, 10, 5, 1]",2522,636,186250,201930,0.5869211077495927,0.9739663093415007,0.9307753045946567,0.9485714822574433
8,657445,"[9, 8, 3, 6, 10, 5, 1, 0]",2909,639,187748,203841,0.6769839422853153,0.9785604900459418,0.9382614866418126,0.9575484549836056
7,500880,"[9, 8, 3, 6, 10, 5, 0]",2380,604,163834,182106,0.5538747963695602,0.9249617151607963,0.8187524362575087,0.8554477212300002
6,299955,"[9, 8, 3, 6, 10, 1]",2522,636,186250,201930,0.5869211077495927,0.9739663093415007,0.9307753045946567,0.9485714822574433
7,549955,"[9, 8, 3, 6, 10, 1, 0]",2909,639,187748,203841,0.6769839422853153,0.9785604900459418,0.9382614866418126,0.9575484549836056
6,393390,"[9, 8, 3, 6, 10, 0]",2380,604,163834,182106,0.5538747963695602,0.9249617151607963,0.8187524362575087,0.8554477212300002
5,144470,"[9, 8, 3, 6, 7]",2064,596,161126,177310,0.4803351175238538,0.9127105666156202,0.8052193381375499,0.832918385178365
6,236720,"[9, 8, 3, 6, 7, 2]",2565,621,178058,192510,0.596928089364673,0.9509954058192955,0.8898361835463914,0.9043207846747903
7,344210,"[9, 8, 3, 6, 7, 2, 5]",2565,621,178058,192510,0.596928089364673,0.9509954058192955,0.8898361835463914,0.9043207846747903
8,500775,"[9, 8, 3, 6, 7, 2, 5, 1]",3094,647,196257,208981,0.7200372352804282,0.9908116385911179,0.9807847997521264,0.9816937400764757
9,750775,"[9, 8, 3, 6, 7, 2, 5, 1, 0]",3481,649,197235,210276,0.8101000698161508,0.9938744257274119,0.9856723071233671,0.9877770366125198
8,594210,"[9, 8, 3, 6, 7, 2, 5, 0]",2952,627,181059,196251,0.6869909239003956,0.9601837672281777,0.9048335348972024,0.9218942304982196
7,393285,"[9, 8, 3, 6, 7, 2, 1]",3094,647,196257,208981,0.7200372352804282,0.9908116385911179,0.9807847997521264,0.9816937400764757
8,643285,"[9, 8, 3, 6, 7, 2, 1, 0]",3481,649,197235,210276,0.8101000698161508,0.9938744257274119,0.9856723071233671,0.9877770366125198
7,486720,"[9, 8, 3, 6, 7, 2, 0]",2952,627,181059,196251,0.6869909239003956,0.9601837672281777,0.9048335348972024,0.9218942304982196
6,251960,"[9, 8, 3, 6, 7, 5]",2064,596,161126,177310,0.4803351175238538,0.9127105666156202,0.8052193381375499,0.832918385178365
7,408525,"[9, 8, 3, 6, 7, 5, 1]",2593,633,185658,200028,0.603444263439609,0.9693721286370597,0.9278168134251532,0.9396367872678247
8,658525,"[9, 8, 3, 6, 7, 5, 1, 0]",2980,636,187166,201930,0.6935070979753316,0.9739663093415007,0.9353529699853075,0.9485714822574433
7,501960,"[9, 8, 3, 6, 7, 5, 0]",2451,604,165412,182106,0.5703979520595764,0.9249617151607963,0.8266384144086516,0.8554477212300002
6,301035,"[9, 8, 3, 6, 7, 1]",2593,633,185658,200028,0.603444263439609,0.9693721286370597,0.9278168134251532,0.9396367872678247
7,551035,"[9, 8, 3, 6, 7, 1, 0]",2980,636,187166,201930,0.6935070979753316,0.9739663093415007,0.9353529699853075,0.9485714822574433
6,394470,"[9, 8, 3, 6, 7, 0]",2451,604,165412,182106,0.5703979520595764,0.9249617151607963,0.8266384144086516,0.8554477212300002
