subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
4,"[0, 2, 3, 7]",50,27,256,351,True,1.0,0.819672131147541,0.8709677419354839,0.7828746177370031,0.7548387096774194,1.0
4,"[0, 2, 4, 5]",51,30,285,435,True,1.0,0.8360655737704918,0.967741935483871,0.8715596330275229,0.9354838709677419,1.0
4,"[0, 2, 4, 6]",47,28,249,378,True,1.0,0.7704918032786885,0.9032258064516129,0.7614678899082569,0.8129032258064516,1.0
4,"[0, 2, 4, 7]",52,28,262,378,True,1.0,0.8524590163934426,0.9032258064516129,0.8012232415902141,0.8129032258064516,1.0
4,"[0, 2, 5, 6]",38,26,154,325,True,1.0,0.6229508196721312,0.8387096774193549,0.4709480122324159,0.6989247311827957,1.0
4,"[0, 2, 5, 7]",43,28,191,378,True,1.0,0.7049180327868853,0.9032258064516129,0.5840978593272171,0.8129032258064516,1.0
4,"[0, 2, 6, 7]",39,25,157,300,True,1.0,0.639344262295082,0.8064516129032258,0.4801223241590214,0.6451612903225806,1.0
4,"[0, 3, 4, 5]",59,30,311,435,True,1.0,0.9672131147540983,0.967741935483871,0.9510703363914373,0.9354838709677419,1.0
4,"[0, 3, 4, 6]",55,27,283,351,True,1.0,0.9016393442622951,0.8709677419354839,0.8654434250764526,0.7548387096774194,1.0
4,"[0, 3, 4, 7]",60,28,298,378,True,1.0,0.9836065573770492,0.9032258064516129,0.9113149847094801,0.8129032258064516,1.0
4,"[0, 3, 5, 6]",46,28,230,378,True,1.0,0.7540983606557377,0.9032258064516129,0.7033639143730887,0.8129032258064516,1.0
4,"[0, 3, 5, 7]",51,28,260,378,True,1.0,0.8360655737704918,0.9032258064516129,0.7951070336391437,0.8129032258064516,1.0
4,"[0, 3, 6, 7]",47,26,238,325,True,1.0,0.7704918032786885,0.8387096774193549,0.72782874617737,0.6989247311827957,1.0
4,"[0, 4, 5, 6]",48,29,258,406,True,1.0,0.7868852459016393,0.9354838709677419,0.7889908256880734,0.8731182795698925,1.0
4,"[0, 4, 5, 7]",53,29,271,406,True,1.0,0.8688524590163934,0.9354838709677419,0.8287461773700305,0.8731182795698925,1.0
4,"[0, 4, 6, 7]",49,25,234,300,True,1.0,0.8032786885245902,0.8064516129032258,0.7155963302752294,0.6451612903225806,1.0
4,"[0, 5, 6, 7]",40,26,172,325,True,1.0,0.6557377049180327,0.8387096774193549,0.5259938837920489,0.6989247311827957,1.0
